name,title,book(s),house,dateOfBirth,dateOfDeath,,culture,alias,reign,full name,other titles,born in,died in,royal house,predecessor,heir,successor,queen,issue,books,father,mother,coronation,spouse,personal arms,race,wife,actor,tv series,buried in,location,government,founded,religion,notable places,organizations,named for,current commander,size,banner,motto/war cry,founder,coat of arms,seat,current lord,region,overlord,words,cadet branch,ancestral weapon,population,conflict,date,place,result,author,country,language,series,genre(s),publisher,released,media type,pages,followed&#160;by,cover artist,isbn,purchase,disbanded
Daryn Hornwood,,A Game of Thrones,House Hornwood,,298 AC,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daven Lannister,Ser,A Game of Thrones,House Lannister,273 AC,,,Westerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deepwood Motte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Westeros,House Glover,,Old gods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del,,A Storm of Swords,,283 AC,299 AC,,Free Folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davos Seaworth,Ser,A Clash of Kings,House Seaworth,260 AC,,Season 2,Westeros, Onion Knight<br>Davos Shorthand<br>The Knight of Onions<br>Ser Onions<br>Onion Lord<br>Smuggler,,,,,,,,,,,,,,,,Marya Seaworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delonne Allyrion,Godsgrace,A Storm of Swords,House Allyrion,,,,Dornish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Della Frey,,A Clash of Kings,House Frey,296 AC,,,, Deaf Della,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danwell Frey,Ser,A Game of Thrones,House Frey,252 AC,,,,,,,,,,,,,,,,,,,,Wynafrei Whent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delena Florent,,A Clash of Kings,House Florent,,,,,,,,,,,,,,,,,,,,,Hosman Norcross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delp,,A Clash of Kings,House Tully,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denestan, Maester,A Feast for Crows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denyo Terys,,A Feast for Crows,,287 AC,,,Braavosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Plumm,Ser,A Storm of Swords,House Plumm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denys Drumm,,A Feast for Crows,House Drumm,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deana Hardyng,,A Clash of Kings,House Hardyng,,,,,,,,,,,,,,,,,,,,,Walton Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denys Darklyn,Duskendale,A Feast for Crows,House Darklyn,,,,,,,,,,,,,,,,,,,,,Serala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denys Arryn,Ser,A Storm of Swords,House Arryn,,283 AC,,, The Darling of the Vale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denys Mallister,Ser,A Game of Thrones,House Mallister,245 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dermot,Ser,A Clash of Kings,House Baratheon of Dragonstone,,,,, Dermot of the Rainwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmond,,A Game of Thrones,House Stark,,298 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denyse Hightower,,A Feast for Crows,House Hightower,,,,,,,,,,,,,,,,,,,,,Desmond Redwyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denys Redwyne,,A Feast for Crows,House Redwyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmond Grell,Ser,A Game of Thrones,House Grell,237 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deziel Dalt,Knight,A Storm of Swords,House Dalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devan Seaworth,,A Clash of Kings,House Seaworth,287 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhazzar, Cupbearer,A Dance with Dragons,,Meereen,,,Ghiscari, The dancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmond Redwyne,Ser,A Feast for Crows,House Redwyne,,,,,,,,,,,,,,,,,,,,,Denyse Hightower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dick Follard,,A Storm of Swords,Night's Watch,,299 AC,,, Deaf Dick Follard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dick Crabb,,A Feast for Crows,House Crabb,,300 AC,,, Nimble Dick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickon Tarly,,A Game of Thrones,House Tarly,287 AC,,,,,,,,,,,,,,,,,,,,Eleanor Mooton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickon Frey,,A Clash of Kings,House Frey,294 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickon Manwoody,,A Storm of Swords,House Manwoody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirk,,A Storm of Swords,Night's Watch,,300 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dobber,,A Clash of Kings,,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolf,,A Game of Thrones,Stone Crows,,,,Vale mountain clans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domeric Bolton,,A Clash of Kings,House Bolton,279 AC,297 AC,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donal Noye,,A Game of Thrones,House Baratheon,244 AC,300 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donnel Drumm,,A Feast for Crows,House Drumm,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donel Greyjoy,,A Feast for Crows,House Greyjoy,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donella Hornwood,Hornwood,A Clash of Kings,House Manderly,249 AC,299 AC,,Northmen,,,,,,,,,,,,,,,,,Halys Hornwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donnel Haigh,Ser,A Clash of Kings,House Haigh,255 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donnel Locke,Ser,A Clash of Kings,House Locke,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donnel Hill,,A Storm of Swords,Night's Watch,,,,, Sweet Donnel Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donnel of Duskendale,Ser,The Hedge Knight,Kingsguard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donnel Waynwood,Ser,A Game of Thrones,House Waynwood,277 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donnis,,A Game of Thrones,House Stark,,,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donyse, Septa,A Storm of Swords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dontos Hollard,Ser,A Game of Thrones,House Hollard,261 AC,300 AC,Season 2,, Dontos the Red<br>Dontos the Drunk<br>Florian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorcas,,A Feast for Crows,House Lannister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doran Martell,Prince of Dorne,A Game of Thrones,House Nymeros Martell,247 AC,,Season 5,Dornish,,,,,,,,,,,,,,,,,Mellario of Norvos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorea Sand,,A Feast for Crows,House Martell,291 AC,,,Dornishmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doreah,,A Game of Thrones,House Targaryen,278 or 279 AC,299 AC,Season 1,Lysene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dormund,,A Storm of Swords,,,300 AC,,Free Folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dornish Dilly,,A Storm of Swords,Night's Watch,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorren Stark,,,,,,,Northmen,,, Dorren Stark,King in the North,,,House Stark,,,,,,A Clash of Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draqaz, Cupbearer,A Dance with Dragons,,Meereen,,,Ghiscari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drennan,,A Clash of Kings,House Greyjoy,,299 AC,Season 2,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryn,,A Storm of Swords,,,,,Free Folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donnor Stark,Winterfell,The World of Ice and Fire,House Stark,,,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drogo,Khal,A Game of Thrones,,267 AC,298/299 AC,Season 1,Dothraki, Great Rider<br>Great Khal,,,,,,,,,,,,,,,,Daenerys Targaryen,,Dothraki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Westeros,House Baratheon of Dragonstone," 500 years ago, by the Valyrians",Faith of the Seven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dudley, Ser,A Storm of Swords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunaver,Ser,A Clash of Kings,House Lannister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunstan Drumm,Old Wyk,A Clash of Kings,House Drumm,212 AC,,,Ironborn, The Drumm<br>The Bone Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunsen,,A Clash of Kings,House Clegane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duram Bar Emmon,Sharp Point,A Clash of Kings,House Bar Emmon,284 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durran,,,,,,,First Men, Durran Godsgrief<br>The Godsgrief<br>King of a Thousand Years,, Durran,Storm King,Age of Heroes,,House Durrandon,,Durran the Devout,Durran the Devout,Elenei,Durran the Devout,The World of Ice and Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duncan Targaryen,Prince of Dragonstone,The World of Ice and Fire,House Targaryen,220 AC,259 AC,,, Prince Duncan the Small<br>Prince of Dragonflies,,,,,,,,,,,,,,,,Jenny of Oldstones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyah,,A Storm of Swords,,,,,Free Folk,,,,,,,,,,,,,,,,,Craster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dykk Harlaw,,A Clash of Kings,House Harlaw,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easy,,A Storm of Swords,Night's Watch,,300 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywen,,A Game of Thrones,Night's Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebben,,A Clash of Kings,Night's Watch,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebrose, Archmaester,The World of Ice and Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddara Tallhart, Lady of Torrhen's Square,A Clash of Kings,House Tallhart,289 AC,,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edderion Stark,King in the North,A Clash of Kings,House Stark,,,,Northmen, Ederrion the Bridegroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddard Karstark,,A Game of Thrones,House Karstark,Karhold,298 AC,,Northmen, Edd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddison Tollett,,A Clash of Kings,House Tollett,,,Season 2,Valemen, Dolorous Edd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eden Risley,Ser,The Mystery Knight,House Risley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgerran Oakheart, Lord,A Feast for Crows,House Oakheart,,,,, Edgerran the Open-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmund Ambrose,Ser,A Feast for Crows,House Ambrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddard Stark,Winterfell,The World of Ice and Fire,House Stark,263 AC,299 AC,Season 1,Northmen, Ned<br>The Ned<br>The Quiet Wolf,,,,,,,,,,,,,,,,Catelyn Tully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edric Dayne,Lord of Starfall,A Game of Thrones,House Dayne,287 AC,,, Dornish, Ned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmyn Tully,Riverrun,The World of Ice and Fire,House Tully,,,,Rivermen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edrick Stark, King in the North,The World of Ice and Fire,House Stark,,,,Northmen, Edrick Snowbeard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmure Tully,Ser,A Game of Thrones,House Tully,267 AC,,Season 3,Rivermen,,,,,,,,,,,,,,,,,Roslin Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwyd Fossoway, Ser,A Clash of Kings,House Fossoway of Cider Hall,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edric Storm,,A Game of Thrones,House Baratheon,287 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwyle Stark,Winterfell,The World of Ice and Fire,House Stark,,,,Northmen,,,,,,,,,,,,,,,,,Marna Locke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwyn Stark,King in the North,A Clash of Kings,House Stark,,,,Northmen, The Spring King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwyn Osgrey,Ser,The Sworn Sword,House Osgrey,,196 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eggon,,A Clash of Kings,House Clegane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eglantine, Septa,A Feast for Crows,Faith of the Seven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egon Emeros,,A Clash of Kings,Pureborn,,,,Qartheen, Egon Emeros the Exquisite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder Brother,Ser,A Feast for Crows,Faith of the Seven,255 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldiss,,A Clash of Kings,,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldred Codd,,A Feast for Crows,House Codd,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldon Estermont,Ser,A Clash of Kings,House Estermont,228 AC,,,Stormlands,,,,,,,,,,,,,,,,,Sylva Santagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleanor Mooton,,A Feast for Crows,House Mooton,286 AC,,,,,,,,,,,,,,,,,,,,Dickon Tarly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleyna Westerling,,A Storm of Swords,House Westerling,287 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elbert Arryn,Ser,A Clash of Kings,House Arryn,,282 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elia Martell, Princess,The World of Ice and Fire,,256 AC,283 AC,,, Elia of Dorne,,,,,,,,,,,,,,,,Rhaegar Targaryen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elia Sand,,A Storm of Swords,House Martell,285 AC,,,Dornishmen,"<a href=""#cite_note-Radwd38.7B.7B.7B3.7D.7D.7D-0"">[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwyn Frey,,A Clash of Kings,House Frey,259 AC,,,,,,,,,,,,,,,,,,,,Janyce Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellaria Sand,,A Storm of Swords,House Uller,,,Season 4,Dornish, The serpent's whore,,,,,,,,,,,,,,,,Oberyn Martell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elaena Targaryen, Princess,The World of Ice and Fire,House Targaryen,150 AC,220 AC,,Valyrian,,,,,,,,,,,,,,,,,Ossifer Plumm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellery Vance, Ser,A Storm of Swords,House Vance of Atranta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elinor Tyrell,,A Storm of Swords,House Tyrell,286 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elron,,A Clash of Kings,Night's Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmar Frey,,A Game of Thrones,House Frey,290 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elwood,,A Storm of Swords,House Tully,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elwood Meadows,Grassy Vale,A Clash of Kings,House Meadows,278 AC,,,Reach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elyas Willum,,A Clash of Kings,House Willum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elyn Norridge,,A Storm of Swords,House Norridge,,,,,,,,,,,,,,,,,,,,,Luthor Tyrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elyana Vypren,,A Clash of Kings,House Vypren,264 AC,,,,,,,,,,,,,,,,,,,,Jon Wylde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elys Westerling,Ser,A Storm of Swords,House Westerling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elys Waynwood,Ser,A Feast for Crows,House Waynwood,,,,,,,,,,,,,,,,,,,,,Alys Arryn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elza,,A Dance with Dragons,House of Galare,,294 AC,,Meereenese, Ella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma,,A Feast for Crows,,260 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmon Cuy,Ser,A Clash of Kings,House Cuy,Sunflower Hall,299 AC,,, Emmon the Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emberlei Frey,,A Clash of Kings,House Frey,296 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmond,,A Feast for Crows,Drowned men,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmon Frey,Riverrun,A Game of Thrones,House Frey of Riverrun,237 AC,,,, Emm,,,,,,,,,,,,,,,,Genna Lannister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emrick,,A Storm of Swords,Night's Watch,Fair Isle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endehar,,A Clash of Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emphyria Vance,,A Feast for Crows,House Vance of Wayfarer's Rest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endrew Tarth,Ser,A Game of Thrones,House Tarth,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enger,,A Clash of Kings,House Tully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eon Hunter,Longbow Hall,A Game of Thrones,House Hunter,"<a href=""#cite_note-0"">[1]",300 AC,,, Old Lord Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
